house_id,seller_id,agent_id,address,city,neighborhood,zip_code,latitude,longitude,property_type,bedrooms,bathrooms,garage_spaces,stories,square_feet,lot_size,construction_year,school_district,listing_price,estimated_market_value,price_per_sq_ft,listing_date,days_on_market,hoa_fee,status
121,3,1,1465 Cynthia Club,Bellevue,West Bellevue,96177,47.606483,-122.213478,CONDO,3,4.0,2,1,828,5993,2008,Bellevue School District,546000.0,572000.0,659.42,2025-09-24,38,371,PENDING
122,96,12,90148 Stokes Branch,Seattle,Queen Anne,56073,47.599589,-122.341703,CONDO,2,3.0,1,1,1001,7404,1996,Seattle Public Schools,417000.0,424000.0,416.58,2026-03-02,39,661,ACTIVE
123,3,6,7881 Smith Field,Seattle,Queen Anne,98269,47.606188,-122.317233,SINGLE_FAMILY,4,3.0,2,2,3360,3957,1975,Seattle Public Schools,1647000.0,1771000.0,490.18,2025-07-01,37,0,ACTIVE
124,122,27,853 Catherine Extension Apt. 215,Redmond,Bear Creek,17975,47.661789,-122.114162,SINGLE_FAMILY,3,2.0,2,2,3431,1662,1962,Lake Washington School District,2119000.0,2069000.0,617.6,2026-01-01,57,0,SOLD
125,73,12,7625 Matthew Springs,Seattle,Fremont,33238,47.611396,-122.332475,CONDO,4,1.0,3,3,1270,3847,1975,Seattle Public Schools,509000.0,530000.0,400.79,2026-04-27,64,573,PENDING
126,19,3,4744 Aaron Roads,Mercer Island,North End,75060,47.566009,-122.227696,CONDO,4,3.5,2,3,1305,6780,1993,Mercer Island School District,911000.0,945000.0,698.08,2025-11-19,55,388,ACTIVE
127,6,5,807 Brown Avenue Suite 545,Issaquah,Talus,14547,47.522139,-122.040051,TOWNHOUSE,4,3.5,0,1,1671,2867,2025,Issaquah School District,995000.0,1014000.0,595.45,2025-06-30,55,302,ACTIVE
128,22,4,5016 Gonzalez Pines,Seattle,Fremont,67913,47.609743,-122.344571,CONDO,5,2.5,2,1,1134,3526,2020,Seattle Public Schools,558000.0,589000.0,492.06,2026-05-22,41,476,PENDING
129,122,15,70243 Foster Hills Suite 628,Kirkland,Rose Hill,35822,47.689946,-122.204544,SINGLE_FAMILY,2,3.5,1,3,2498,6395,1953,Lake Washington School District,1513000.0,1527000.0,605.68,2025-08-07,63,0,SOLD
130,89,16,722 Burgess Avenue Suite 313,Kirkland,Rose Hill,37843,47.668714,-122.218313,TOWNHOUSE,3,2.5,2,1,1877,3986,2005,Lake Washington School District,1223000.0,1272000.0,651.57,2025-07-13,6,250,ACTIVE
131,126,25,5023 Moyer Grove Apt. 678,Redmond,Overlake,65456,47.667888,-122.113524,TOWNHOUSE,4,3.0,1,1,1439,5990,1994,Lake Washington School District,803000.0,826000.0,558.03,2026-04-16,52,346,SOLD
132,97,8,6862 Susan Turnpike,Bellevue,Somerset,03273,47.597476,-122.19774,SINGLE_FAMILY,3,4.0,2,2,3416,6812,1981,Bellevue School District,2445000.0,2570000.0,715.75,2025-08-13,73,0,ACTIVE
133,116,9,030 Jordan Ranch Apt. 674,Bothell,Downtown,37492,47.763783,-122.214766,SINGLE_FAMILY,1,1.0,0,1,2080,2337,1973,Northshore School District,940000.0,923000.0,451.92,2025-12-22,41,0,PENDING
134,88,14,92823 Wang Way Suite 363,Seattle,Fremont,62615,47.614772,-122.332148,TOWNHOUSE,3,3.5,0,2,2044,2157,1951,Seattle Public Schools,879000.0,867000.0,430.04,2026-03-13,23,278,PENDING
135,98,27,892 Victoria Ramp,Seattle,Ballard,82933,47.594859,-122.324056,SINGLE_FAMILY,2,4.0,3,1,4024,7542,2010,Seattle Public Schools,2330000.0,2490000.0,579.03,2026-02-14,9,0,ACTIVE
136,80,30,26043 Ronald Ridges,Seattle,Fremont,26668,47.595958,-122.325253,TOWNHOUSE,4,3.0,0,2,1396,5442,2016,Seattle Public Schools,738000.0,733000.0,528.65,2025-08-01,86,402,ACTIVE
137,4,6,6843 Matthew Neck,Seattle,Fremont,08542,47.608741,-122.335226,CONDO,2,1.0,3,3,1332,6384,1977,Seattle Public Schools,555000.0,553000.0,416.67,2025-12-31,24,440,ACTIVE
138,16,2,1454 Dawson Gateway,Bothell,North Creek,42423,47.764437,-122.19936,SINGLE_FAMILY,4,1.5,3,1,3847,4094,1961,Northshore School District,1839000.0,1852000.0,478.03,2026-05-20,76,0,WITHDRAWN
139,35,9,00534 Ramirez Rest,Bothell,Canyon Park,13708,47.759659,-122.207275,TOWNHOUSE,3,3.5,3,1,2124,6142,2006,Northshore School District,1043000.0,1014000.0,491.05,2025-12-02,28,528,ACTIVE
140,68,18,5541 Elizabeth Springs Apt. 555,Bellevue,Somerset,97878,47.608722,-122.193222,TOWNHOUSE,3,3.5,1,1,1581,6576,2020,Bellevue School District,1176000.0,1209000.0,743.83,2026-04-08,51,647,ACTIVE
141,142,5,43961 David Summit Apt. 093,Kirkland,Rose Hill,25788,47.670394,-122.208706,SINGLE_FAMILY,3,1.0,0,1,2059,8341,2018,Lake Washington School District,1588000.0,1574000.0,771.25,2026-03-12,21,0,SOLD
142,100,22,89547 Amanda Drives,Seattle,Queen Anne,06243,47.606975,-122.326061,SINGLE_FAMILY,3,2.0,1,3,2238,7380,2012,Seattle Public Schools,1297000.0,1263000.0,579.54,2025-08-14,14,0,SOLD
143,16,12,485 West Stravenue Apt. 617,Seattle,Magnolia,55420,47.613504,-122.320387,CONDO,4,4.0,0,3,1321,3677,2012,Seattle Public Schools,645000.0,685000.0,488.27,2026-01-05,72,270,PENDING
144,137,13,94240 Laura Square,Renton,Highlands,25429,47.473694,-122.212394,CONDO,3,1.5,3,3,729,2364,1977,Renton School District,251000.0,246000.0,344.31,2026-03-25,86,545,SOLD
145,87,22,8812 Christensen Lights Suite 694,Bellevue,West Bellevue,27623,47.611117,-122.198503,SINGLE_FAMILY,5,2.0,2,2,3549,4877,1963,Bellevue School District,2347000.0,2323000.0,661.31,2025-09-04,86,0,ACTIVE
146,66,12,390 Gordon Stravenue,Bellevue,Bridle Trails,69323,47.608525,-122.204587,TOWNHOUSE,4,2.0,0,3,1923,2606,1980,Bellevue School District,1246000.0,1238000.0,647.95,2025-10-01,43,253,SOLD
147,142,17,4812 Brandon Freeway,Bellevue,West Bellevue,38753,47.597929,-122.202689,SINGLE_FAMILY,2,2.0,2,3,3089,3546,1952,Bellevue School District,2171000.0,2331000.0,702.82,2025-07-13,34,0,SOLD
148,84,26,2403 Amanda Alley,Seattle,Queen Anne,85520,47.596387,-122.322329,SINGLE_FAMILY,4,3.0,0,3,4136,6761,2001,Seattle Public Schools,2490000.0,2475000.0,602.03,2025-11-02,43,0,ACTIVE
149,112,14,1842 Villanueva Hill Suite 005,Seattle,Ballard,29242,47.617294,-122.340298,CONDO,4,3.0,0,3,1040,7868,1960,Seattle Public Schools,425000.0,455000.0,408.65,2026-03-21,85,445,ACTIVE
150,40,2,40891 Bautista Glens Apt. 735,Seattle,Greenwood,35732,47.613147,-122.335314,SINGLE_FAMILY,3,3.0,0,1,3107,5038,2019,Seattle Public Schools,1870000.0,1881000.0,601.87,2025-09-11,42,0,SOLD
151,68,3,73652 Davis Falls Suite 223,Bothell,North Creek,75167,47.760155,-122.197185,SINGLE_FAMILY,2,1.5,3,3,3176,3122,1960,Northshore School District,1487000.0,1564000.0,468.2,2025-12-24,67,0,PENDING
152,83,22,404 Nicole Viaduct,Bellevue,Downtown,52169,47.598476,-122.204093,SINGLE_FAMILY,3,1.5,2,2,4098,6365,2017,Bellevue School District,3215000.0,3144000.0,784.53,2026-03-06,88,0,SOLD
153,60,7,21637 Garcia Pine,Seattle,Greenwood,18496,47.602415,-122.324368,SINGLE_FAMILY,4,1.0,0,1,3232,6587,2006,Seattle Public Schools,1957000.0,1993000.0,605.51,2026-03-20,23,0,SOLD
154,6,11,166 Daniel Bridge,Issaquah,Olde Town,84974,47.5373,-122.041244,CONDO,3,4.0,2,3,664,5456,1993,Issaquah School District,303000.0,298000.0,456.33,2026-06-04,84,623,PENDING
155,66,6,14290 Susan Coves,Sammamish,Klahanie,71590,47.60982,-122.026924,TOWNHOUSE,3,1.0,3,3,1984,1568,1952,Lake Washington School District,966000.0,1033000.0,486.9,2026-03-23,13,448,PENDING
156,99,8,132 Malone Mills Apt. 457,Kirkland,Totem Lake,20753,47.677156,-122.199709,TOWNHOUSE,5,2.5,0,1,1975,3129,1996,Lake Washington School District,1224000.0,1190000.0,619.75,2025-09-25,69,484,SOLD
157,41,1,810 Curtis Hill Apt. 862,Redmond,Overlake,00659,47.679429,-122.125839,TOWNHOUSE,3,3.0,2,1,1340,6626,1981,Lake Washington School District,797000.0,800000.0,594.78,2026-05-27,37,699,PENDING
158,101,22,66254 Sandra Spur,Bellevue,West Bellevue,50930,47.597734,-122.205034,CONDO,5,3.0,1,2,680,3469,2021,Bellevue School District,492000.0,489000.0,723.53,2026-03-05,78,328,ACTIVE
159,149,18,2131 Howard Ridges,Bellevue,West Bellevue,44242,47.620978,-122.20723,SINGLE_FAMILY,4,3.0,1,2,4279,8946,1992,Bellevue School District,3153000.0,3104000.0,736.85,2025-08-11,23,0,SOLD
160,48,11,92268 Greene Springs,Kirkland,Juanita,56238,47.683712,-122.198037,SINGLE_FAMILY,4,2.5,3,2,2447,5129,1990,Lake Washington School District,1610000.0,1656000.0,657.95,2025-08-22,86,0,SOLD
161,69,20,451 Hendricks Shore Suite 410,Mercer Island,Luther Burbank,19983,47.574071,-122.219209,SINGLE_FAMILY,2,1.0,2,1,2569,7137,1963,Mercer Island School District,2056000.0,2000000.0,800.31,2026-04-08,66,0,WITHDRAWN
162,42,7,2677 Daniel Meadow,Seattle,Capitol Hill,95752,47.592167,-122.324164,CONDO,1,2.0,3,1,1130,7581,1997,Seattle Public Schools,471000.0,477000.0,416.81,2025-10-08,90,353,PENDING
163,110,13,2265 Snyder Orchard,Renton,Highlands,91389,47.486138,-122.20737,SINGLE_FAMILY,4,2.5,0,3,3599,2395,2012,Renton School District,1813000.0,1931000.0,503.75,2026-06-18,62,0,SOLD
164,100,17,36687 Patel View Apt. 619,Redmond,Bear Creek,94207,47.687778,-122.130804,CONDO,3,2.0,2,2,901,2863,2016,Lake Washington School District,505000.0,545000.0,560.49,2025-11-29,59,400,ACTIVE
165,129,4,135 James Vista,Kirkland,Juanita,02749,47.685262,-122.192865,SINGLE_FAMILY,4,1.5,3,2,3917,4149,1968,Lake Washington School District,2480000.0,2582000.0,633.14,2025-11-07,62,0,ACTIVE
166,42,23,10552 Stevens Village Suite 333,Seattle,Greenwood,07823,47.594906,-122.343675,SINGLE_FAMILY,3,2.0,0,3,2627,7294,2008,Seattle Public Schools,1507000.0,1516000.0,573.66,2026-03-27,54,0,SOLD
167,86,19,260 Watson Squares,Renton,Fairwood,14395,47.49378,-122.227236,CONDO,2,4.0,0,2,1276,4023,1970,Renton School District,415000.0,420000.0,325.24,2026-02-25,44,623,SOLD
168,65,1,9202 Thomas Gardens,Renton,Downtown,10602,47.482829,-122.217141,SINGLE_FAMILY,4,3.0,3,1,4365,3276,1973,Renton School District,1765000.0,1738000.0,404.35,2025-07-03,80,0,ACTIVE
169,72,20,27284 Jenkins Junction Suite 041,Kirkland,Rose Hill,20933,47.678626,-122.196242,SINGLE_FAMILY,1,1.5,0,3,3609,4359,1960,Lake Washington School District,2316000.0,2248000.0,641.73,2025-07-20,9,0,SOLD
170,46,6,282 Randy Manors,Seattle,Greenwood,89617,47.599731,-122.327272,SINGLE_FAMILY,4,3.0,1,2,4167,7638,1988,Seattle Public Schools,2254000.0,2208000.0,540.92,2026-06-09,79,0,ACTIVE
171,110,27,498 Fletcher Manors Apt. 418,Bellevue,Downtown,49988,47.603885,-122.212464,SINGLE_FAMILY,4,2.0,2,3,3025,4889,1991,Bellevue School District,2211000.0,2237000.0,730.91,2026-06-19,72,0,ACTIVE
172,23,16,369 Jeffery Ferry,Seattle,Greenwood,98280,47.61186,-122.319083,SINGLE_FAMILY,5,2.0,3,3,2038,8445,1963,Seattle Public Schools,1043000.0,1124000.0,511.78,2026-06-19,45,0,PENDING
173,128,16,775 Wilcox Expressway,Seattle,Capitol Hill,07666,47.61771,-122.340118,SINGLE_FAMILY,3,1.5,0,1,4352,1696,1995,Seattle Public Schools,2497000.0,2591000.0,573.76,2026-04-17,64,0,PENDING
174,55,1,41115 Johnson Haven Apt. 811,Kirkland,Rose Hill,28276,47.667936,-122.212551,SINGLE_FAMILY,4,2.0,2,3,2649,6005,2003,Lake Washington School District,1963000.0,1976000.0,741.03,2026-02-01,46,0,PENDING
175,45,7,83034 Tiffany Port Apt. 970,Renton,Downtown,06798,47.492915,-122.204432,SINGLE_FAMILY,3,2.5,0,3,3165,2612,1993,Renton School District,1425000.0,1471000.0,450.24,2025-10-21,66,0,WITHDRAWN
176,15,27,54683 Walton Stream Suite 215,Seattle,Magnolia,53884,47.60018,-122.325351,SINGLE_FAMILY,3,3.0,0,1,3999,6230,1992,Seattle Public Schools,2192000.0,2323000.0,548.14,2026-05-21,47,0,SOLD
177,97,21,209 Woods Ways,Bothell,Downtown,05404,47.770372,-122.203271,CONDO,3,3.0,0,2,1012,7277,1958,Northshore School District,389000.0,389000.0,384.39,2025-10-12,45,613,ACTIVE
178,135,10,711 Nicole Valley,Seattle,Capitol Hill,89821,47.594567,-122.323552,SINGLE_FAMILY,4,1.0,3,3,3835,1704,1980,Seattle Public Schools,2083000.0,2211000.0,543.16,2026-02-22,66,0,ACTIVE
179,37,25,898 West Curve,Issaquah,Olde Town,44937,47.539764,-122.019459,SINGLE_FAMILY,4,1.5,1,3,3193,1799,2011,Issaquah School District,2029000.0,2085000.0,635.45,2025-10-12,63,0,SOLD
180,23,11,63399 Susan Port Suite 102,Bellevue,Bridle Trails,41073,47.621776,-122.213407,CONDO,4,3.5,2,1,768,6231,1950,Bellevue School District,403000.0,393000.0,524.74,2026-01-14,44,577,SOLD
181,31,9,1752 Martin Harbors,Issaquah,Olde Town,76065,47.519825,-122.044166,SINGLE_FAMILY,5,3.0,0,1,2588,5944,1986,Issaquah School District,1446000.0,1453000.0,558.73,2025-11-08,49,0,ACTIVE
182,87,18,27474 Santos Dam,Redmond,Overlake,16749,47.660422,-122.13563,SINGLE_FAMILY,5,1.0,0,2,2960,1940,2023,Lake Washington School District,2262000.0,2212000.0,764.19,2026-06-17,16,0,SOLD
183,92,10,54669 Scott Passage Suite 516,Bellevue,Somerset,66815,47.619623,-122.195113,SINGLE_FAMILY,4,3.0,0,2,4241,6151,2025,Bellevue School District,3804000.0,3979000.0,896.96,2025-12-09,21,0,ACTIVE
184,120,16,038 Eric Cove,Seattle,Capitol Hill,38598,47.619623,-122.342788,CONDO,4,2.0,2,2,1365,3002,2009,Seattle Public Schools,613000.0,616000.0,449.08,2025-11-12,90,419,SOLD
185,119,28,36715 Mcdonald Place Suite 112,Bothell,Canyon Park,96416,47.753568,-122.209942,CONDO,3,3.0,0,2,1114,8197,2012,Northshore School District,459000.0,469000.0,412.03,2025-08-07,18,416,ACTIVE
186,63,18,3651 Peterson Rapids Suite 371,Redmond,Education Hill,36988,47.688117,-122.124986,SINGLE_FAMILY,3,4.0,3,2,3037,6146,2018,Lake Washington School District,2157000.0,2232000.0,710.24,2025-12-11,48,0,ACTIVE
187,84,18,2359 Vanessa Trail,Redmond,Education Hill,50345,47.683561,-122.131215,SINGLE_FAMILY,5,1.0,0,3,2119,8168,2023,Lake Washington School District,1718000.0,1688000.0,810.76,2025-07-21,81,0,PENDING
188,1,25,7303 Stephanie Spur Suite 442,Bothell,Canyon Park,11457,47.764926,-122.206811,SINGLE_FAMILY,3,3.0,3,1,3824,3184,1957,Northshore School District,1721000.0,1824000.0,450.05,2025-08-19,45,0,SOLD
189,89,3,1476 Elizabeth Green Apt. 016,Seattle,Magnolia,45330,47.591444,-122.317507,TOWNHOUSE,3,1.5,2,1,1995,4524,1988,Seattle Public Schools,994000.0,1067000.0,498.25,2026-06-14,75,277,SOLD
190,101,21,35677 Tammy Mews Suite 960,Seattle,Fremont,74020,47.612553,-122.334919,SINGLE_FAMILY,3,1.5,1,2,3271,2639,1964,Seattle Public Schools,1723000.0,1835000.0,526.75,2026-04-10,29,0,ACTIVE
191,35,1,99255 Edward Mount,Redmond,Education Hill,19832,47.678352,-122.13218,CONDO,4,3.5,3,1,1018,2193,2003,Lake Washington School District,548000.0,592000.0,538.31,2025-12-27,22,578,SOLD
192,116,13,64807 Cynthia Route Apt. 033,Bothell,North Creek,55574,47.751872,-122.207657,CONDO,1,2.5,1,3,1362,5610,2004,Northshore School District,596000.0,608000.0,437.59,2026-03-09,39,460,ACTIVE
193,124,23,635 Stephanie Springs,Issaquah,Olde Town,76108,47.519363,-122.025661,SINGLE_FAMILY,5,4.0,2,2,1937,5734,1954,Issaquah School District,1029000.0,1078000.0,531.23,2026-06-11,15,0,ACTIVE
194,139,26,0448 Holly Run Suite 665,Redmond,Bear Creek,46666,47.668275,-122.134917,TOWNHOUSE,3,4.0,0,2,1551,5219,2010,Lake Washington School District,974000.0,1016000.0,627.98,2026-04-26,70,490,SOLD
195,78,24,512 Patterson Fall Apt. 866,Kirkland,Rose Hill,37860,47.669713,-122.202121,SINGLE_FAMILY,3,3.0,0,3,3245,3890,1987,Lake Washington School District,2185000.0,2128000.0,673.34,2026-05-02,84,0,SOLD
196,72,9,491 Linda Cove Apt. 096,Seattle,Fremont,14089,47.591626,-122.343754,SINGLE_FAMILY,2,3.0,1,3,2319,5158,2014,Seattle Public Schools,1328000.0,1403000.0,572.66,2025-12-26,52,0,ACTIVE
197,22,5,789 Elizabeth Walk,Bothell,Downtown,55635,47.773118,-122.215775,SINGLE_FAMILY,3,2.5,3,1,2767,6912,2012,Northshore School District,1479000.0,1520000.0,534.51,2025-09-14,61,0,ACTIVE
198,14,6,613 Sampson Keys Suite 660,Renton,Downtown,49606,47.479862,-122.223059,SINGLE_FAMILY,4,4.0,1,2,4166,7099,1994,Renton School District,1811000.0,1809000.0,434.71,2026-04-09,54,0,SOLD
199,81,17,4463 Rachel Mall Apt. 002,Redmond,Bear Creek,49575,47.687576,-122.133579,SINGLE_FAMILY,3,2.0,3,3,3580,6841,1951,Lake Washington School District,2124000.0,2247000.0,593.3,2026-05-01,39,0,ACTIVE
200,62,24,2963 Lee Row Suite 096,Bellevue,West Bellevue,17392,47.610699,-122.196168,SINGLE_FAMILY,5,2.0,0,3,2202,1569,1982,Bellevue School District,1656000.0,1678000.0,752.04,2026-06-05,13,0,SOLD
201,9,1,265 Samuel Courts Apt. 819,Seattle,Magnolia,51882,47.593958,-122.318945,SINGLE_FAMILY,4,4.0,1,3,2225,6727,2007,Seattle Public Schools,1311000.0,1376000.0,589.21,2026-05-01,20,0,ACTIVE
202,48,29,253 Christopher Mews Apt. 920,Renton,Highlands,81516,47.48877,-122.2245,SINGLE_FAMILY,3,1.0,3,2,4276,7802,1966,Renton School District,1775000.0,1871000.0,415.11,2026-03-13,59,0,SOLD
203,16,13,602 Walters Tunnel,Renton,Downtown,47440,47.47788,-122.230298,TOWNHOUSE,5,2.0,1,2,2088,2068,1991,Renton School District,806000.0,851000.0,386.02,2025-09-04,67,352,ACTIVE
204,28,30,3836 Hopkins Harbor,Kirkland,Totem Lake,11375,47.683362,-122.217901,SINGLE_FAMILY,2,3.0,2,2,3815,1653,1963,Lake Washington School District,2338000.0,2466000.0,612.84,2026-06-04,68,0,ACTIVE
205,148,1,911 Ho Crossing,Seattle,Magnolia,14535,47.612428,-122.32397,TOWNHOUSE,3,2.5,0,3,1338,3350,1999,Seattle Public Schools,625000.0,654000.0,467.12,2025-08-19,5,446,SOLD
206,78,13,11753 Garcia Underpass Apt. 617,Mercer Island,North End,82510,47.574668,-122.208335,CONDO,2,3.0,2,1,1143,8390,1965,Mercer Island School District,748000.0,802000.0,654.42,2025-07-26,63,639,ACTIVE
207,100,29,5722 Smith Fall Apt. 155,Renton,Highlands,63928,47.486819,-122.221322,TOWNHOUSE,2,3.5,3,3,1480,3052,2020,Renton School District,668000.0,676000.0,451.35,2026-06-26,22,268,ACTIVE
208,79,16,84139 Amanda Path,Seattle,Magnolia,67576,47.620149,-122.322747,TOWNHOUSE,5,1.0,0,2,1907,1959,1980,Seattle Public Schools,911000.0,890000.0,477.71,2026-04-01,48,653,PENDING
209,39,24,1305 Jeffrey Stream,Renton,Fairwood,91150,47.47489,-122.229939,SINGLE_FAMILY,4,2.5,0,2,2667,8931,2016,Renton School District,1313000.0,1372000.0,492.31,2026-06-06,84,0,SOLD
210,25,15,7315 Owens Valleys Suite 686,Seattle,Magnolia,25805,47.596321,-122.329369,TOWNHOUSE,4,1.0,0,2,1433,6374,1951,Seattle Public Schools,613000.0,598000.0,427.77,2025-09-28,83,362,ACTIVE
211,36,11,461 Martin Ford,Seattle,Capitol Hill,95142,47.614127,-122.329307,SINGLE_FAMILY,3,1.0,2,1,3181,7705,2001,Seattle Public Schools,1869000.0,2014000.0,587.55,2025-12-23,58,0,PENDING
212,97,25,9459 Catherine Meadow Apt. 955,Seattle,Capitol Hill,83430,47.591669,-122.332491,SINGLE_FAMILY,1,1.5,0,3,2475,6839,2006,Seattle Public Schools,1442000.0,1491000.0,582.63,2026-04-23,80,0,ACTIVE
213,106,8,08496 Munoz Wells Suite 601,Issaquah,Olde Town,24081,47.533416,-122.046471,SINGLE_FAMILY,2,2.5,0,3,3749,8270,1966,Issaquah School District,1921000.0,1999000.0,512.4,2026-04-19,43,0,PENDING
214,93,28,53135 Thomas Island Apt. 050,Bellevue,West Bellevue,94453,47.609026,-122.197706,SINGLE_FAMILY,2,1.0,1,1,2765,8025,1974,Bellevue School District,1820000.0,1872000.0,658.23,2025-10-26,24,0,ACTIVE
215,94,10,538 Paul Rapids Apt. 831,Renton,Highlands,74026,47.48094,-122.222071,CONDO,4,4.0,3,1,1135,2355,2013,Renton School District,425000.0,444000.0,374.45,2025-10-08,11,525,ACTIVE
216,149,11,665 Gonzalez Causeway,Seattle,Queen Anne,65241,47.597163,-122.326794,TOWNHOUSE,3,4.0,0,2,1796,3365,2015,Seattle Public Schools,898000.0,959000.0,500.0,2025-12-27,17,371,SOLD
217,112,5,1172 Garza Freeway Apt. 409,Renton,Highlands,01110,47.495737,-122.21845,CONDO,3,1.5,3,3,1034,3090,1978,Renton School District,326000.0,337000.0,315.28,2026-05-26,85,433,ACTIVE
218,120,15,60880 Newman Cliff Suite 164,Sammamish,Pine Lake,36503,47.606436,-122.040293,SINGLE_FAMILY,4,3.0,1,3,2321,6509,1954,Lake Washington School District,1341000.0,1310000.0,577.77,2025-10-22,26,0,ACTIVE
219,56,19,1857 Phillip Square Suite 715,Kirkland,Totem Lake,81500,47.68701,-122.212625,SINGLE_FAMILY,4,3.5,1,1,2740,4181,1961,Lake Washington School District,1726000.0,1773000.0,629.93,2025-08-05,60,0,SOLD
220,12,2,02156 George Field,Kirkland,Totem Lake,95411,47.683904,-122.205874,CONDO,3,2.5,3,3,1255,8228,1969,Lake Washington School District,650000.0,695000.0,517.93,2026-05-23,17,481,ACTIVE
221,24,1,004 Daniel Hollow Apt. 459,Redmond,Overlake,50250,47.678971,-122.131646,SINGLE_FAMILY,3,3.0,0,2,1850,5299,2002,Lake Washington School District,1378000.0,1357000.0,744.86,2025-10-05,22,0,ACTIVE
222,99,29,97125 Karen Vista,Issaquah,Talus,54672,47.525087,-122.046619,SINGLE_FAMILY,3,2.0,1,3,3317,2163,2009,Issaquah School District,2102000.0,2039000.0,633.71,2026-02-15,84,0,SOLD
223,29,13,839 Stanley Harbors,Issaquah,Squak Mountain,42694,47.529061,-122.046374,TOWNHOUSE,3,3.5,0,3,1356,7310,2015,Issaquah School District,765000.0,799000.0,564.16,2026-04-06,31,320,SOLD
224,54,25,14415 Donna Street Apt. 117,Sammamish,Inglewood,08400,47.624127,-122.040986,SINGLE_FAMILY,4,3.0,3,2,2265,1946,2011,Lake Washington School District,1547000.0,1629000.0,683.0,2025-09-14,13,0,SOLD
225,137,29,6371 Clark Ramp,Bellevue,Somerset,69660,47.608659,-122.205456,SINGLE_FAMILY,4,3.5,0,1,3853,8806,2017,Bellevue School District,3204000.0,3274000.0,831.56,2026-01-02,63,0,PENDING
226,29,23,7281 Jeffery Lakes Suite 798,Seattle,Capitol Hill,27111,47.60609,-122.32085,SINGLE_FAMILY,3,3.5,0,2,2532,4912,1986,Seattle Public Schools,1457000.0,1426000.0,575.43,2026-04-08,74,0,ACTIVE
227,6,28,46249 Dylan Wells,Mercer Island,North End,14548,47.580748,-122.221511,SINGLE_FAMILY,3,3.0,2,3,3520,6792,2006,Mercer Island School District,3523000.0,3426000.0,1000.85,2026-03-27,46,0,ACTIVE
228,79,6,72407 Bell Crest,Redmond,Overlake,72630,47.665703,-122.125343,TOWNHOUSE,3,4.0,0,1,1842,4392,2020,Lake Washington School District,1249000.0,1253000.0,678.07,2025-07-29,41,483,ACTIVE
229,40,6,26868 Brown Groves Suite 106,Mercer Island,North End,96445,47.559208,-122.207287,TOWNHOUSE,3,2.5,2,2,1464,3011,2018,Mercer Island School District,1218000.0,1312000.0,831.97,2026-06-01,31,537,SOLD
230,78,4,3629 Moreno Park,Renton,Highlands,68477,47.480037,-122.217117,TOWNHOUSE,2,2.5,2,1,1652,1535,1968,Renton School District,596000.0,614000.0,360.77,2025-12-03,74,509,ACTIVE
231,38,26,313 Brian Camp,Bellevue,Bridle Trails,75897,47.605261,-122.213131,TOWNHOUSE,3,1.0,1,3,1785,6013,1987,Bellevue School District,1204000.0,1268000.0,674.51,2025-10-03,19,407,WITHDRAWN
232,50,19,143 Myers Courts,Seattle,Magnolia,29322,47.597864,-122.31903,TOWNHOUSE,3,1.0,0,3,1525,8458,2007,Seattle Public Schools,782000.0,787000.0,512.79,2026-03-23,62,596,SOLD
233,15,30,3235 Mccarthy Heights Apt. 128,Renton,Fairwood,92313,47.478732,-122.227662,SINGLE_FAMILY,4,2.0,3,2,3896,1599,2000,Renton School District,1868000.0,1877000.0,479.47,2026-02-10,41,0,SOLD
234,107,26,325 Garrett Isle Suite 207,Bellevue,Bridle Trails,56589,47.603759,-122.19233,SINGLE_FAMILY,5,2.5,3,1,3625,8344,2021,Bellevue School District,3078000.0,3232000.0,849.1,2025-10-28,80,0,ACTIVE
235,97,3,1209 Montes Prairie,Kirkland,Juanita,00632,47.674184,-122.193568,SINGLE_FAMILY,3,3.0,3,3,3042,6152,2010,Lake Washington School District,2385000.0,2451000.0,784.02,2025-12-23,22,0,ACTIVE
236,150,10,1009 Conley Pine,Seattle,Queen Anne,66449,47.607978,-122.333196,CONDO,1,1.0,1,2,946,3958,2020,Seattle Public Schools,487000.0,516000.0,514.8,2025-08-28,86,677,ACTIVE
237,8,4,14577 Fritz Glens,Kirkland,Totem Lake,87455,47.676692,-122.191881,SINGLE_FAMILY,3,2.0,3,3,2978,5072,2003,Lake Washington School District,2155000.0,2305000.0,723.64,2025-12-23,38,0,SOLD
238,42,19,0545 Rodriguez Spur Apt. 263,Kirkland,Juanita,86925,47.666284,-122.207169,SINGLE_FAMILY,4,2.0,1,1,2289,3733,1997,Lake Washington School District,1576000.0,1628000.0,688.51,2026-06-25,51,0,SOLD
239,132,7,0396 Clark Corners Apt. 614,Bellevue,West Bellevue,82668,47.618041,-122.198537,CONDO,2,2.0,2,3,1014,8052,1956,Bellevue School District,532000.0,547000.0,524.65,2026-03-03,43,388,SOLD
240,133,10,245 Myers Mall Suite 430,Renton,Downtown,76459,47.491264,-122.21974,TOWNHOUSE,5,1.5,0,1,1398,2766,2018,Renton School District,606000.0,643000.0,433.48,2026-01-04,69,363,ACTIVE
241,30,14,167 Roberts Branch Suite 272,Bothell,North Creek,69076,47.772581,-122.216903,TOWNHOUSE,2,1.0,3,2,1872,4052,2017,Northshore School District,930000.0,975000.0,496.79,2026-06-15,51,321,SOLD
